时间,最小正备用（MW）,最大正备用,最大负备用（MW）,最小负备用（MW）,正备用（MW）,负备用（MW）
2023-10-01 00:15:00+08,2902,18319,16549,-786,6197,12550
2023-10-01 00:30:00+08,2902,18319,16549,-786,6055,12642
2023-10-01 00:45:00+08,2902,18319,16549,-786,5179,13517
2023-10-01 01:00:00+08,2902,18319,16549,-786,5618,13079
2023-10-01 01:15:00+08,2902,18319,16549,-786,4828,13951
2023-10-01 01:30:00+08,2902,18319,16549,-786,4887,13892
2023-10-01 01:45:00+08,2902,18319,16549,-786,5881,12728
2023-10-01 02:00:00+08,2902,18319,16549,-786,5648,12961
2023-10-01 02:15:00+08,2902,18319,16549,-786,5759,12851
2023-10-01 02:30:00+08,2902,18319,16549,-786,5945,12664
2023-10-01 02:45:00+08,2902,18319,16549,-786,5713,12896
2023-10-01 03:00:00+08,2902,18319,16549,-786,5956,12653
2023-10-01 03:15:00+08,2902,18319,16549,-786,6108,12502
2023-10-01 03:30:00+08,2902,18319,16549,-786,6395,12214
2023-10-01 03:45:00+08,2902,18319,16549,-786,6088,12521
2023-10-01 04:00:00+08,2902,18319,16549,-786,6180,12429
2023-10-01 04:15:00+08,2902,18319,16549,-786,5920,12689
2023-10-01 04:30:00+08,2902,18319,16549,-786,5939,12670
2023-10-01 04:45:00+08,2902,18319,16549,-786,5655,12955
2023-10-01 05:00:00+08,2902,18319,16549,-786,4968,13642
2023-10-01 05:15:00+08,2902,18319,16549,-786,4378,14231
2023-10-01 05:30:00+08,2902,18319,16549,-786,4247,14362
2023-10-01 05:45:00+08,2902,18319,16549,-786,4173,14436
2023-10-01 06:00:00+08,2902,18319,16549,-786,3944,14665
2023-10-01 06:15:00+08,2902,18319,16549,-786,3992,14617
2023-10-01 06:30:00+08,2902,18319,16549,-786,4361,14249
2023-10-01 06:45:00+08,2902,18319,16549,-786,5746,12863
2023-10-01 07:00:00+08,2902,18319,16549,-786,7129,11480
2023-10-01 07:15:00+08,2902,18319,16549,-786,9111,9498
2023-10-01 07:30:00+08,2902,18319,16549,-786,11844,6765
2023-10-01 07:45:00+08,2902,18319,16549,-786,14829,5276
2023-10-01 08:00:00+08,2902,18319,16549,-786,14490,3304
2023-10-01 08:15:00+08,2902,18319,16549,-786,16812,2586
2023-10-01 08:30:00+08,2902,18319,16549,-786,16930,504
2023-10-01 08:45:00+08,2902,18319,16549,-786,18281,-560
2023-10-01 09:00:00+08,2902,18319,16549,-786,18186,-786
2023-10-01 09:15:00+08,2902,18319,16549,-786,18319,-554
2023-10-01 09:30:00+08,2902,18319,16549,-786,17250,29
2023-10-01 09:45:00+08,2902,18319,16549,-786,17544,220
2023-10-01 10:00:00+08,2902,18319,16549,-786,17193,1370
2023-10-01 10:15:00+08,2902,18319,16549,-786,14853,1747
2023-10-01 10:30:00+08,2902,18319,16549,-786,15596,1003
2023-10-01 10:45:00+08,2902,18319,16549,-786,14749,1190
2023-10-01 11:00:00+08,2902,18319,16549,-786,15665,935
2023-10-01 11:15:00+08,2902,18319,16549,-786,15344,1740
2023-10-01 11:30:00+08,2902,18319,16549,-786,16399,686
2023-10-01 11:45:00+08,2902,18319,16549,-786,17473,1090
2023-10-01 12:00:00+08,2902,18319,16549,-786,16339,746
2023-10-01 12:15:00+08,2902,18319,16549,-786,16468,617
