时间,华北来电(MW),银东直流(MW),鲁固直流(MW),昭沂直流(MW)
2023-10-01 00:15:00+08,3893.087,1476.563,1001.587,2338.192
2023-10-01 00:30:00+08,4205.338,1459.961,1001.892,2338.455
2023-10-01 00:45:00+08,4432.265,1453.613,0.0,2337.562
2023-10-01 01:00:00+08,3656.631,2054.443,0.0,2401.946
2023-10-01 01:15:00+08,3520.974,2104.736,0.0,2336.457
2023-10-01 01:30:00+08,3435.739,2105.469,0.0,2334.779
2023-10-01 01:45:00+08,3576.309,2106.689,1004.028,2335.208
2023-10-01 02:00:00+08,3511.069,2105.713,1004.639,2335.295
2023-10-01 02:15:00+08,3037.002,2655.518,1003.723,2325.46
2023-10-01 02:30:00+08,3161.607,2658.447,1002.808,2325.311
2023-10-01 02:45:00+08,2897.415,2655.762,1003.113,2324.965
2023-10-01 03:00:00+08,2932.908,2656.738,1003.113,2325.396
2023-10-01 03:15:00+08,3233.113,2657.471,1001.892,2325.751
2023-10-01 03:30:00+08,3121.688,2656.006,1002.502,2325.619
2023-10-01 03:45:00+08,3023.542,2606.201,999.756,2326.148
2023-10-01 04:00:00+08,3798.519,2005.127,1000.061,2325.58
2023-10-01 04:15:00+08,4369.501,1453.369,1002.502,2325.555
2023-10-01 04:30:00+08,4487.79,1454.102,999.756,2325.246
2023-10-01 04:45:00+08,4209.61,1453.857,999.451,2325.284
2023-10-01 05:00:00+08,4334.266,1452.881,999.756,2325.374
2023-10-01 05:15:00+08,4017.717,1454.102,1004.333,2325.135
2023-10-01 05:30:00+08,4164.52,1607.178,1003.113,2654.66
2023-10-01 05:45:00+08,4319.11,1762.207,1002.808,2984.662
2023-10-01 06:00:00+08,4310.374,1916.26,1002.502,3314.371
2023-10-01 06:15:00+08,4350.147,2075.684,1603.088,3649.132
2023-10-01 06:30:00+08,4151.065,2075.195,2203.674,3652.835
2023-10-01 06:45:00+08,4416.971,2075.684,2764.282,3656.622
2023-10-01 07:00:00+08,4216.814,2075.439,2764.587,3660.527
2023-10-01 07:15:00+08,4344.704,2077.148,2765.503,3664.516
2023-10-01 07:30:00+08,5164.813,2040.527,2765.503,3676.604
2023-10-01 07:45:00+08,5498.543,2045.654,2764.282,3686.401
2023-10-01 08:00:00+08,6160.494,1698.486,2765.503,3197.092
2023-10-01 08:15:00+08,6750.739,1705.811,2762.451,2728.826
2023-10-01 08:30:00+08,7592.232,1714.6,2763.977,2418.769
2023-10-01 08:45:00+08,7908.823,1728.271,2763.977,2445.407
2023-10-01 09:00:00+08,7622.843,1719.727,2764.893,2457.711
2023-10-01 09:15:00+08,7165.487,1769.043,2764.587,2528.869
2023-10-01 09:30:00+08,6136.039,1734.863,2764.893,2541.388
2023-10-01 09:45:00+08,5686.466,1641.113,2765.198,2556.234
2023-10-01 10:00:00+08,4148.446,1804.199,2764.587,2572.571
2023-10-01 10:15:00+08,3365.017,1786.621,2765.198,2457.426
2023-10-01 10:30:00+08,2760.738,1798.34,2765.503,2459.488
2023-10-01 10:45:00+08,2330.334,1811.768,2763.977,2461.83
2023-10-01 11:00:00+08,2552.199,1676.27,2765.198,2464.368
2023-10-01 11:15:00+08,3896.915,1445.801,2765.808,2467.493
2023-10-01 11:30:00+08,3650.409,1562.988,2764.587,2468.318
2023-10-01 11:45:00+08,3084.687,1502.686,2765.503,2469.509
2023-10-01 12:00:00+08,2509.061,1447.754,2764.893,2470.982
2023-10-01 12:15:00+08,3080.143,1562.744,2221.985,2471.827
2023-10-01 12:30:00+08,3731.621,1563.965,1677.856,2469.726
2023-10-01 12:45:00+08,4101.704,1561.768,1678.162,2468.0
2023-10-01 13:00:00+08,4233.294,1562.5,1677.551,2465.706
2023-10-01 13:15:00+08,4374.01,1562.256,1677.856,2461.589
2023-10-01 13:30:00+08,3526.981,1716.553,1854.858,2459.872
2023-10-01 13:45:00+08,3024.878,1833.496,2032.471,2457.911
2023-10-01 14:00:00+08,3180.044,1834.473,2209.778,2455.891
2023-10-01 14:15:00+08,3475.135,1834.229,2397.461,2451.521
2023-10-01 14:30:00+08,4097.218,1833.496,2397.156,2444.289
2023-10-01 14:45:00+08,5033.043,1835.205,2397.461,2437.943
2023-10-01 15:00:00+08,5750.585,1833.984,2397.766,2430.401
2023-10-01 15:15:00+08,6467.563,1833.74,2397.766,2740.944
2023-10-01 15:30:00+08,6197.11,1833.008,2397.156,3233.01
2023-10-01 15:45:00+08,6318.169,2187.012,2396.851,3725.056
2023-10-01 16:00:00+08,6058.034,2197.021,2396.545,3716.128
2023-10-01 16:15:00+08,6482.056,2302.49,2397.461,3704.865
2023-10-01 16:30:00+08,6732.643,2303.955,2396.851,3693.547
2023-10-01 16:45:00+08,7250.949,2306.152,2397.156,3684.612
2023-10-01 17:00:00+08,7633.651,2307.129,2397.156,3674.628
2023-10-01 17:15:00+08,8019.839,2309.814,2397.766,3661.444
2023-10-01 17:30:00+08,7838.279,2284.424,2398.682,3658.828
2023-10-01 17:45:00+08,7835.394,2398.193,2399.902,3655.736
2023-10-01 18:00:00+08,8036.493,2170.654,2399.597,3652.595
2023-10-01 18:15:00+08,8028.419,2106.689,2397.766,3648.017
2023-10-01 18:30:00+08,8163.355,2114.014,2397.461,3648.292
2023-10-01 18:45:00+08,8157.006,2121.094,2397.766,3647.409
2023-10-01 19:00:00+08,8194.955,2129.639,2397.156,3647.844
2023-10-01 19:15:00+08,7975.936,2141.113,2398.071,3647.456
2023-10-01 19:30:00+08,8215.467,2133.789,2396.24,3646.619
2023-10-01 19:45:00+08,8324.661,2125.732,2397.461,3647.89
2023-10-01 20:00:00+08,8111.45,2119.141,2397.461,3648.5
2023-10-01 20:15:00+08,7731.598,2105.957,2397.156,3647.286
2023-10-01 20:30:00+08,7295.379,2103.76,2396.851,3646.677
2023-10-01 20:45:00+08,6871.923,2103.271,2397.461,3648.344
2023-10-01 21:00:00+08,6278.217,2102.783,2397.461,3647.069
2023-10-01 21:15:00+08,6506.58,2053.711,2396.851,3647.128
2023-10-01 21:30:00+08,6494.464,2051.758,2397.461,3647.777
2023-10-01 21:45:00+08,6155.382,2057.861,2397.766,3647.807
2023-10-01 22:00:00+08,6191.395,2057.373,2396.851,3647.566
2023-10-01 22:15:00+08,5558.244,2045.898,2396.545,3647.844
2023-10-01 22:30:00+08,5506.031,1886.963,2220.154,3318.163
2023-10-01 22:45:00+08,4897.171,1726.074,2042.236,2988.282
2023-10-01 23:00:00+08,4170.275,1576.172,1865.54,2659.593
2023-10-01 23:15:00+08,4161.849,1460.938,1678.162,2325.444
2023-10-01 23:30:00+08,4442.747,1401.367,1678.162,2325.23
2023-10-01 23:45:00+08,4479.219,1401.367,1678.162,2325.313
2023-10-02 00:00:00+08,4472.76,1405.518,1677.551,2325.352
2023-10-02 00:15:00+08,4158.106,1453.857,1678.772,2329.774
2023-10-02 00:30:00+08,4456.466,1453.125,1678.162,2328.021
2023-10-02 00:45:00+08,4060.371,1453.369,1678.162,2327.435
2023-10-02 01:00:00+08,4268.153,1452.881,1678.162,2326.5
2023-10-02 01:15:00+08,4227.243,1453.369,1677.246,2325.476
2023-10-02 01:30:00+08,4536.215,1453.125,1677.551,2325.281
2023-10-02 01:45:00+08,4401.045,1454.102,1678.467,2325.378
2023-10-02 02:00:00+08,4238.025,1454.834,1677.246,2325.413
2023-10-02 02:15:00+08,4378.335,1452.637,1678.467,2325.75
2023-10-02 02:30:00+08,4240.493,1452.637,1678.467,2325.509
2023-10-02 02:45:00+08,4485.895,1452.393,1677.856,2325.254
2023-10-02 03:00:00+08,4244.38,1453.369,1678.162,2325.517
2023-10-02 03:15:00+08,4348.643,1452.393,1678.467,2325.664
2023-10-02 03:30:00+08,4360.952,1453.857,1678.162,2325.22
2023-10-02 03:45:00+08,4229.258,1453.613,1678.162,2325.385
2023-10-02 04:00:00+08,4186.88,1451.66,1678.467,2325.95
2023-10-02 04:15:00+08,4394.505,1454.102,1678.162,2325.578
2023-10-02 04:30:00+08,4310.75,1454.102,1678.162,2325.58
2023-10-02 04:45:00+08,4381.902,1453.369,1678.162,2325.503
2023-10-02 05:00:00+08,4430.776,1452.637,1677.246,2325.453
2023-10-02 05:15:00+08,4375.826,1453.613,1678.162,2325.34
2023-10-02 05:30:00+08,4176.653,1606.934,1855.774,2655.276
2023-10-02 05:45:00+08,4152.773,1760.498,2035.522,2984.423
2023-10-02 06:00:00+08,4319.131,1917.725,2213.44,3314.141
2023-10-02 06:15:00+08,4294.287,2076.172,2397.766,3648.7
2023-10-02 06:30:00+08,3902.777,2076.172,2397.156,3652.254
2023-10-02 06:45:00+08,4154.671,2075.439,2397.156,3656.64
2023-10-02 07:00:00+08,3942.516,2075.195,2397.156,3661.11
2023-10-02 07:15:00+08,4681.151,2073.486,2398.376,3665.403
2023-10-02 07:30:00+08,5272.145,1911.865,2396.545,3676.757
2023-10-02 07:45:00+08,6008.04,1912.842,2397.156,3686.81
2023-10-02 08:00:00+08,6381.065,1905.273,2397.461,3698.742
2023-10-02 08:15:00+08,6706.343,1942.383,2396.851,3708.458
2023-10-02 08:30:00+08,7479.46,1998.779,2396.851,3719.994
2023-10-02 08:45:00+08,8038.808,1915.527,2395.325,3730.364
2023-10-02 09:00:00+08,8235.176,1923.828,2393.799,3741.082
2023-10-02 09:15:00+08,8020.001,2118.164,2397.156,3753.773
2023-10-02 09:30:00+08,7863.774,2114.014,2396.851,3759.608
2023-10-02 09:45:00+08,8254.863,1927.002,2396.851,3765.372
2023-10-02 10:00:00+08,8248.498,2141.357,2397.156,3770.688
2023-10-02 10:15:00+08,8382.871,2139.16,2395.935,3779.171
2023-10-02 10:30:00+08,8039.625,1994.629,2220.154,3453.212
2023-10-02 10:45:00+08,7982.989,1853.516,2044.373,3125.174
2023-10-02 11:00:00+08,8160.783,1745.85,1866.455,2798.339
2023-10-02 11:15:00+08,7226.099,1762.939,1678.467,2467.861
2023-10-02 11:30:00+08,6562.824,1923.34,1677.856,2469.151
2023-10-02 11:45:00+08,6177.43,2073.486,1678.772,2469.443
2023-10-02 12:00:00+08,5656.827,2175.537,1678.162,2471.401
2023-10-02 12:15:00+08,5250.328,1772.949,1677.856,3353.268
2023-10-02 12:30:00+08,5252.584,2338.623,1678.162,2816.927
2023-10-02 12:45:00+08,4949.755,2349.121,1677.856,2848.385
2023-10-02 13:00:00+08,4868.49,2325.439,1678.772,2893.957
2023-10-02 13:15:00+08,4769.686,2333.496,1678.772,2917.866
2023-10-02 13:30:00+08,4703.942,2470.947,1678.162,3310.981
2023-10-02 13:45:00+08,4605.702,2453.369,2029.114,3818.063
2023-10-02 14:00:00+08,4583.628,2445.801,2209.778,4300.288
2023-10-02 14:15:00+08,5170.701,2376.221,2396.24,4608.777
2023-10-02 14:30:00+08,5364.767,2305.908,2396.24,4569.408
2023-10-02 14:45:00+08,5222.362,2307.129,2398.987,4420.967
2023-10-02 15:00:00+08,5271.195,2244.385,2397.766,4349.834
2023-10-02 15:15:00+08,5349.957,2344.971,2397.156,4565.884
2023-10-02 15:30:00+08,4948.239,2330.322,2397.156,4743.062
2023-10-02 15:45:00+08,5138.58,2305.664,2276.306,4684.968
2023-10-02 16:00:00+08,4821.811,2308.35,2397.156,4740.029
2023-10-02 16:15:00+08,5679.867,2300.537,2397.461,4310.467
2023-10-02 16:30:00+08,6576.862,2238.77,2397.156,4110.893
2023-10-02 16:45:00+08,7367.605,2225.83,2397.766,3683.985
2023-10-02 17:00:00+08,7890.811,2190.674,2396.24,3674.202
2023-10-02 17:15:00+08,8005.525,2195.557,2396.851,3661.333
2023-10-02 17:30:00+08,7875.813,2173.828,2398.376,3658.504
2023-10-02 17:45:00+08,8116.523,2151.367,2399.597,3657.218
2023-10-02 18:00:00+08,8105.769,2127.441,2399.902,3652.254
2023-10-02 18:15:00+08,7961.331,2105.469,2396.851,3647.561
2023-10-02 18:30:00+08,8085.519,2111.084,2397.766,3647.803
2023-10-02 18:45:00+08,8272.22,2117.92,2397.461,3647.155
2023-10-02 19:00:00+08,8264.64,1967.773,2397.461,3648.203
2023-10-02 19:15:00+08,8344.504,2037.598,2397.156,3646.801
