时间,直调负荷(MW),联络线受电负荷(MW),风电总加(MW),光伏总加(MW),地方电厂发电总加(MW),非市场化核电总加(MW),自备机组总加(MW),试验机组总加(MW),抽蓄(MW)
2023-10-01 00:15:00+08,46627.547,8709.429,3554.16,-4.67,6953.069,1341.073,4106.093,0,846.8
2023-10-01 00:30:00+08,46541.234,9005.646,3559.16,-4.82,6935.47,1342.786,4157.904,0,519.3
2023-10-01 00:45:00+08,46176.18,8223.44,3499.8,-4.71,6918.089,1341.606,4174.298,0,360.8
2023-10-01 01:00:00+08,45876.172,8113.02,3387.42,-4.89,6931.704,1342.672,4185.363,0,0.0
2023-10-01 01:15:00+08,45667.305,7962.167,3255.89,-4.66,6925.102,1340.808,4197.966,0,0.0
2023-10-01 01:30:00+08,45348.402,7875.987,3098.7,-5.19,6933.734,1341.911,4193.281,0,0.0
2023-10-01 01:45:00+08,45142.156,9022.234,2958.97,-4.79,6935.404,1340.733,4202.492,0,0.0
2023-10-01 02:00:00+08,45073.0,8956.716,2858.38,-4.63,6951.821,1340.467,4201.744,0,0.0
2023-10-01 02:15:00+08,44878.246,9021.703,2842.43,-5.32,6951.377,1340.124,4233.055,0,0.0
2023-10-01 02:30:00+08,44772.715,9148.173,2783.68,8.86,6926.53,1339.63,4212.959,0,0.0
2023-10-01 02:45:00+08,44600.031,8881.255,2824.82,8.55,6976.068,1339.63,4220.207,0,0.0
2023-10-01 03:00:00+08,44433.004,8918.155,2888.81,8.77,6940.984,1338.526,4212.585,0,0.0
2023-10-01 03:15:00+08,44642.977,9218.227,2909.84,8.62,6932.59,1338.68,4222.552,0,0.0
2023-10-01 03:30:00+08,44211.148,9105.815,2908.9,8.61,6963.752,1338.528,4214.129,0,0.0
2023-10-01 03:45:00+08,44324.109,8955.647,2877.81,8.66,7020.232,1338.679,4215.77,0,0.0
2023-10-01 04:00:00+08,44330.969,9129.287,2774.2,8.65,6969.578,1339.326,4236.588,0,0.0
2023-10-01 04:15:00+08,44610.082,9150.927,2742.82,8.72,6979.765,1339.251,4220.826,0,0.0
2023-10-01 04:30:00+08,44687.07,9266.894,2709.16,8.79,6973.17,1337.006,4229.418,0,0.0
2023-10-01 04:45:00+08,44648.492,8988.202,2680.12,8.73,6982.44,1339.175,4237.554,0,0.0
2023-10-01 05:00:00+08,45492.035,9112.277,2722.94,8.81,6960.79,1337.92,4241.685,0,0.0
2023-10-01 05:15:00+08,45730.855,8801.287,2688.82,8.85,6952.873,1337.767,4239.173,0,0.0
2023-10-01 05:30:00+08,46443.262,9429.471,2647.79,8.18,6967.53,1337.349,4237.535,0,0.0
2023-10-01 05:45:00+08,47031.883,10068.787,2528.56,8.63,6949.776,1337.654,4221.994,0,0.0
2023-10-01 06:00:00+08,47705.266,10543.507,2491.56,17.05,6962.313,1336.513,4234.101,0,0.0
2023-10-01 06:15:00+08,48818.738,11678.051,2389.49,141.99,6970.968,1336.398,4238.304,0,0.0
2023-10-01 06:30:00+08,49177.84,12082.769,2380.04,472.25,6982.506,1336.208,4240.632,0,0.0
2023-10-01 06:45:00+08,49019.637,12913.559,2271.27,990.52,6938.602,1338.111,4230.518,0,0.0
2023-10-01 07:00:00+08,48040.152,12717.367,2194.59,1674.17,6952.912,1337.808,4227.785,0,-5.0
2023-10-01 07:15:00+08,46919.676,12851.871,2110.59,2446.52,6934.398,1335.41,4211.934,0,0.0
2023-10-01 07:30:00+08,45645.816,13647.447,1988.84,3264.13,6941.147,1336.439,4213.849,0,0.0
2023-10-01 07:45:00+08,44269.895,13994.88,1833.73,4079.83,6906.918,1338.113,4170.704,0,-5.4
2023-10-01 08:00:00+08,43127.773,13821.575,1680.69,4892.58,6900.388,1336.516,4171.842,0,-4.1
2023-10-01 08:15:00+08,41937.133,13947.827,1448.03,5616.5,6882.904,1335.983,4148.293,0,-14.7
2023-10-01 08:30:00+08,41145.18,14489.578,1211.23,6260.63,6887.181,1337.62,4125.628,0,-338.1
2023-10-01 08:45:00+08,40002.285,14846.478,1039.87,6882.03,6886.088,1336.973,4064.18,0,-1235.5
2023-10-01 09:00:00+08,39019.965,14565.174,979.76,7441.95,6903.605,1334.234,4075.596,0,-1684.1
2023-10-01 09:15:00+08,38356.168,14227.986,1071.66,7930.88,6891.558,1336.288,4077.183,0,-2070.8
2023-10-01 09:30:00+08,37553.336,13177.183,1196.16,8362.49,6905.198,1335.071,4044.127,0,-2324.3
2023-10-01 09:45:00+08,36809.738,12649.011,1412.05,8768.36,6898.467,1335.3,4033.05,0,-2321.3
2023-10-01 10:00:00+08,36132.125,11289.803,1476.79,9032.83,6883.103,1333.93,4035.282,0,-2311.2
2023-10-01 10:15:00+08,36457.875,10374.262,1545.73,9125.4,6887.207,1335.49,4048.905,0,-2048.6
2023-10-01 10:30:00+08,35987.77,9784.069,1520.33,9430.87,6902.275,1334.729,4033.156,0,-2301.1
2023-10-01 10:45:00+08,35864.387,9367.909,1528.02,9806.5,6872.843,1334.425,4039.411,0,-2290.8
2023-10-01 11:00:00+08,35879.52,9458.035,1527.1,9972.17,6852.365,1333.285,4015.073,0,-2284.5
2023-10-01 11:15:00+08,36016.926,10576.017,1542.68,10028.97,6831.816,1334.959,3984.752,0,-2279.6
2023-10-01 11:30:00+08,35511.586,10446.302,1647.38,10091.2,6815.523,1333.703,3971.871,0,-2260.8
2023-10-01 11:45:00+08,34837.18,9822.385,1683.11,10094.86,6806.329,1333.703,3977.818,0,-2248.3
2023-10-01 12:00:00+08,34190.461,9192.69,1728.04,10042.99,6817.458,1332.106,3958.731,0,-2257.8
2023-10-01 12:15:00+08,34021.57,9336.699,1667.64,9863.44,6780.725,1332.791,3957.072,0,-2251.0
2023-10-01 12:30:00+08,34049.855,9443.168,1588.73,9687.52,6733.441,1331.687,3953.58,0,-2240.1
2023-10-01 12:45:00+08,34456.883,9809.634,1555.0,9470.36,6767.176,1332.943,3965.674,0,-2230.0
2023-10-01 13:00:00+08,35169.168,9939.051,1516.02,9153.08,6777.643,1332.067,3952.023,0,-1962.5
2023-10-01 13:15:00+08,36392.668,10075.711,1473.11,8777.32,6806.046,1330.584,3977.221,0,-1708.8
2023-10-01 13:30:00+08,37588.234,9558.264,1427.93,8637.1,6802.677,1331.003,4006.573,0,-1442.6
2023-10-01 13:45:00+08,38455.98,9348.756,1457.5,8400.53,6820.779,1330.013,4012.598,0,-1430.2
2023-10-01 14:00:00+08,38926.32,9680.186,1483.49,8026.65,6750.249,1331.156,4010.643,0,-1423.6
2023-10-01 14:15:00+08,39983.738,10158.346,1521.54,7636.06,6838.252,1329.749,4067.124,0,-1158.7
2023-10-01 14:30:00+08,40616.492,10772.159,1485.54,7128.45,6844.459,1329.787,4081.269,0,-1156.8
2023-10-01 14:45:00+08,41646.859,11703.652,1457.44,6500.96,6863.833,1330.015,4098.762,0,-1145.3
2023-10-01 15:00:00+08,42748.57,12412.736,1289.93,5960.23,6882.113,1329.254,4103.804,0,-1145.5
2023-10-01 15:15:00+08,43653.719,13440.013,1165.56,5441.19,6857.982,1329.368,4099.412,0,-1136.8
2023-10-01 15:30:00+08,45021.016,13660.284,1095.89,4647.38,6915.68,1330.355,4107.742,0,-848.0
2023-10-01 15:45:00+08,45902.996,14627.088,1050.04,3766.41,6912.467,1333.058,4134.855,0,-845.6
2023-10-01 16:00:00+08,46999.109,14367.728,1007.36,3241.5,6911.87,1330.508,4144.232,0,-565.4
2023-10-01 16:15:00+08,48635.039,14886.872,1004.87,2544.08,6914.473,1330.927,4151.881,0,-280.1
2023-10-01 16:30:00+08,50370.691,15126.996,1025.6,1844.49,6941.807,1330.661,4165.089,0,-279.4
2023-10-01 16:45:00+08,52169.672,15638.869,1027.03,1278.74,6927.102,1329.367,4153.68,0,0.0
2023-10-01 17:00:00+08,53382.551,16012.564,1156.42,805.08,6923.999,1329.787,4181.046,0,482.1
2023-10-01 17:15:00+08,54682.43,16388.863,1258.16,430.68,6946.136,1328.874,4193.783,0,631.1
2023-10-01 17:30:00+08,55767.434,16180.213,1294.1,156.12,6975.469,1329.483,4205.289,0,842.8
2023-10-01 17:45:00+08,56745.703,16289.225,1326.4,7.32,7003.878,1328.911,4229.268,0,958.2
2023-10-01 18:00:00+08,57263.441,16259.339,1363.47,-9.81,7004.384,1328.075,4229.534,0,1450.5
2023-10-01 18:15:00+08,57841.512,16180.891,1434.23,-6.06,6996.754,1326.972,4232.898,0,1723.1
